"paragraph","message","polarity_class","polarity_score","emotion"
"অবশেষে দেখা গেল মা ছেলে জিতে গেল সরকার হেরে গেল","","weaklyNegative",-0.5996193647384643,"{""neutral"":0.06889881193637848,""happy"":0.2203931361436844,""anger/disgust"":0.03759763389825821,""sadness"":0.8164047002792358,""surprise"":0.03163726255297661,""fear"":0.01101633533835411}"
"অবশেষে নাটকের সমাপ্তি হল।","","weaklyPositive",0.5353013277053834,"{""neutral"":0.012252258136868477,""happy"":0.9809600114822388,""anger/disgust"":0.0029730587266385555,""sadness"":0.02322959341108799,""surprise"":0.02145606465637684,""fear"":0.0012085952330380678}"
"অবশ্যই না যদি না ক্ষমতার সর্বোচ্চ মহলের ইন্দন না থাকে?","","stronglyNegative",-0.9996930599212647,"{""neutral"":0.18859465420246124,""happy"":0.0026380533818155527,""anger/disgust"":0.4720778465270996,""sadness"":0.2147386223077774,""surprise"":0.09679894894361496,""fear"":0.022641707211732864}"
"অবশ্যই পারে দেশ এখন পুলিশের মগের মুল্লুক।।","","stronglyNegative",-0.9999309539794922,"{""neutral"":0.0002037206431850791,""happy"":0.00016175079508684576,""anger/disgust"":0.9994768500328064,""sadness"":0.0021306227426975965,""surprise"":0.0004332536191213876,""fear"":0.00005624125333270058}"
"অবশ্যই পারে, কারণ সকল ক্ষমতার উৎস একমাত্র পুলিশ, কেন শোনেননি বাঘে ছুঁলে সাত ঘা আর পুলিশে ছুঁলে আঠারো ঘা","","stronglyNegative",-0.9762042045593262,"{""neutral"":0.10561273247003555,""happy"":0.10111711919307709,""anger/disgust"":0.7765345573425293,""sadness"":0.1452820599079132,""surprise"":0.08592629432678223,""fear"":0.022023526951670647}"
"অবাক বিস্ময়ে সমস্ত বিশ্ব তাকিয়ে রয়......ঘুন ধরেছে সমাজে। সুশীল সমাজ মুখ বুজে রয়। পঙ্গু, অথর্ব, জর পদার্থ আজ তারা।","","weaklyNegative",-0.5992859363555908,"{""neutral"":0.0037627907004207373,""happy"":0.004223580006510019,""anger/disgust"":0.2072114199399948,""sadness"":0.9225215315818787,""surprise"":0.0703941285610199,""fear"":0.09092000871896744}"
"অবৈধ ইয়াবা চোরাচালান বন্ধ না হলে ধর্ষণ হতেই থাকবে।","","stronglyNegative",-0.9998475551605225,"{""neutral"":0.0013527290429919958,""happy"":0.00045174750266596675,""anger/disgust"":0.984734296798706,""sadness"":0.0699276328086853,""surprise"":0.001371705555357039,""fear"":0.004257662687450647}"
"অবৈধভাবে এমনিভাবে তথাকথিত ইমারত নির্মান করে অনেক মাঠ ধ্বংস করে দেয়া হয়েছে। খেলাধুলা চুলোয় যাক ইমারত ঠিক থাক।","","stronglyNegative",-0.9972692251205444,"{""neutral"":0.001536509022116661,""happy"":0.001913405954837799,""anger/disgust"":0.9794046878814697,""sadness"":0.13160288333892822,""surprise"":0.005405138712376356,""fear"":0.005937471520155668}"
"অভদ্র পুলিশ । কেবল তাদের আটক করার ক্ষমতা প্রদর্শন করে । এটা দিন দিন বৃদ্ধি পাচ্ছে ।","","weaklyNegative",-0.5997348070144652,"{""neutral"":0.0009028952335938811,""happy"":0.001970700453966856,""anger/disgust"":0.9867864847183228,""sadness"":0.08319996297359467,""surprise"":0.00309071596711874,""fear"":0.0036973366513848305}"
"অভিভাবকত্বের সাথে প্রথম আলোর দায় নিয়েও ভাবনা শুরু করেন। আপনাদের দায়িত্ববোধ জাগ্রত করুন। আপনারা হচ্ছেন সমাজের আয়না। অথচ বিনোদনের নামে অশ্লীলতা কে আপনারা সবচেয়ে বেশী প্রোমোট করছেন। আর ধর্মীয় শিক্ষাকে সমাজের আস্তাকুরে নিক্ষেপ করার জন্য সব সময় অগ্রণী ভূমিকা পালন করছেন।সহজ সরল কথা দ্বিনী শিক্ষা ছাড়া এখান থেকে কেন সমাজের নৈতিক অবক্ষয়ের কোন জায়গা থেকেই বের হওয়া যাবে না। এটা বুঝার জন্য নিশ্চয় আপনাকে PHD হোল্ডার হতে হবে না। অন্যথায় দিনকে দিন তা আরো বাড়বে,তা আপনারা যত ফর্মুলা ই দিন না কেন।","","stronglyNegative",-0.9986263513565063,"{""neutral"":0.006216818932443857,""happy"":0.03446255996823311,""anger/disgust"":0.8472160696983337,""sadness"":0.45113155245780945,""surprise"":0.025458138436079025,""fear"":0.18884822726249695}"
"আম চোর থেকে শুরু করে তালগাছ চোর ধরতে যদি এক জন ই যথেষ্ট হয়, দেশের স্বার্থে আমি মনে করি একজনকে রাখাই ভালো।","","stronglyPositive",0.9994968175888063,"{""neutral"":0.2923077344894409,""happy"":0.44032788276672363,""anger/disgust"":0.2673480808734894,""sadness"":0.13056664168834686,""surprise"":0.03804386779665947,""fear"":0.020522352308034897}"
"আমগো দেশে পুলিশ পারে না বলতে কিছু নেই।।","","stronglyNegative",-0.9999464988708496,"{""neutral"":0.001908427570015192,""happy"":0.0011070535983890295,""anger/disgust"":0.7494062781333923,""sadness"":0.5853458046913147,""surprise"":0.006938552483916283,""fear"":0.0019396361894905567}"
"আমরা এখন হীরক রাজার দেশে। কথা বললেই যন্তর মন্তর ঘর তো আছেই।","","weaklyNegative",-0.5999136686325073,"{""neutral"":0.04590819403529167,""happy"":0.037228282541036606,""anger/disgust"":0.560619056224823,""sadness"":0.15479819476604462,""surprise"":0.2278899997472763,""fear"":0.06897061318159103}"
"আমরা এমন একটি দেশে বাস করি- যে দেশে প্রতিবাদ করা নিষেধ।","","stronglyNegative",-0.9999362468719483,"{""neutral"":0.010328810662031174,""happy"":0.0019599380902945995,""anger/disgust"":0.7923645973205566,""sadness"":0.3319297730922699,""surprise"":0.033767424523830414,""fear"":0.02235727570950985}"
"আমরা কোন রাষ্ট্রে বাস করছি?যে শিশুরাও তাদের ন‍্যায‍্য অধিকার পাওয়া জন‍্য রাস্তায় আন্দোলনে আসতে হচ্ছে। এই লজ্জা জাতির এই লজ্জা সরকারের......","","stronglyNegative",-0.9998372316360473,"{""neutral"":0.00484483502805233,""happy"":0.006610051728785038,""anger/disgust"":0.7066537141799927,""sadness"":0.5485929250717163,""surprise"":0.014935757964849472,""fear"":0.10972873121500015}"
"আমরা সামাজিক জীব, এর মুল ভিত্তি পরিবার, বলতে গেলে পারিবারিক সম্পর্ক।২য়ত সৎ বন্ধুতের সম্পর্ক,এর পরে গোষ্ঠী বা সমাজ বা জাতি।মূল ভিত্তিটাই আজকের এই দুনিয়ায় ঠুংক হয়ে দাড়িয়েছে।","","weaklyNegative",-0.599943733215332,"{""neutral"":0.022671444341540337,""happy"":0.11279898881912231,""anger/disgust"":0.14362120628356934,""sadness"":0.8256032466888428,""surprise"":0.06150461733341217,""fear"":0.31415340304374695}"
"আমাকে কেউ বিয়ে করবা??","","neutral",-0.19998419284820557,"{""neutral"":0.9832487106323242,""happy"":0.01259085163474083,""anger/disgust"":0.0026617872063070536,""sadness"":0.007924149744212627,""surprise"":0.0023185915779322386,""fear"":0.003892087610438466}"
"আমাদের উচিত ছিল এই মা ছেলের পাশে দাড়িয়ে আন্দোলন করা।তা না করে আমরা অন্যায় টা কে প্রশয় দিয়ে আরো অন্যায়ের পথ সুগম করে দিলাম","","stronglyNegative",-0.9991599559783936,"{""neutral"":0.0044780694879591465,""happy"":0.0059193093329668045,""anger/disgust"":0.6791698932647705,""sadness"":0.6372120380401611,""surprise"":0.006177493371069431,""fear"":0.039381276816129684}"
"আমাদের দেশে এইসব কিছুই না, কথায় আছে না জোর যার মুল্লুক তার, জনগণ রাষ্ট্রের মালিক তো না, জনগণ হলো রাষ্ট্রের চাকর।","","stronglyNegative",-0.9995930433273316,"{""neutral"":0.01185032818466425,""happy"":0.010623137466609478,""anger/disgust"":0.7770254015922546,""sadness"":0.4614598751068115,""surprise"":0.025200549513101578,""fear"":0.017452474683523178}"
"আমাদের দেশে এইসব কিছুই না, কথায় আছে না জোর যার মুল্লুক তার, জনগণ রাষ্ট্রের মালিক তো না, জনগণ হলো রাষ্ট্রের চাকর।","","stronglyNegative",-0.9995930433273316,"{""neutral"":0.01185032818466425,""happy"":0.010623137466609478,""anger/disgust"":0.7770254015922546,""sadness"":0.4614598751068115,""surprise"":0.025200549513101578,""fear"":0.017452474683523178}"
"আমাদের দেশের পুলিশ যে মানবিক নয় তার প্রমান হলো এটা।এখন বলার সময় হয়েছে পুলিশ তুই মানুষ হবে কবে","","stronglyNegative",-0.998184084892273,"{""neutral"":0.0009277672506868839,""happy"":0.0020165240857750177,""anger/disgust"":0.9856501221656799,""sadness"":0.07154777646064758,""surprise"":0.001390953897498548,""fear"":0.0009554720018059015}"
"আমাদের পুলিশ এমন কাজ করতেই পারেনা! পুলিশ হলো মানুষের যান মালের রক্ষক।","","stronglyNegative",-0.9974636793136596,"{""neutral"":0.14925359189510345,""happy"":0.1894833743572235,""anger/disgust"":0.19016429781913757,""sadness"":0.06800736486911774,""surprise"":0.26508021354675293,""fear"":0.005904499441385269}"
"আমাদের সময় কতো মাঠ ছিলো, আর এখন সেই মাঠের অভাবে ঝুকছে নেশায়, খেলাধুলা করার জন্য মাঠের অভাব, আমরা আমাদের সন্তানের ভবিষ্যৎ উজ্জ্বল করার জন্য চাই সুব্যাবস্থা,সুস্থ বিনোদনার অভাব, এখন মাঠ পাওয়ার যায়না, কিছু চোর সরকারের যায়গা দখল করে, শিশুদের বিনোদন থেকে বাদ করছে,","","stronglyNegative",-0.9984951972961426,"{""neutral"":0.00257006729952991,""happy"":0.020420553162693977,""anger/disgust"":0.7340850234031677,""sadness"":0.8764119744300842,""surprise"":0.017329376190900803,""fear"":0.08373945206403732}"
"আমাদের স্কুল, কলেজ এবং বিশ্ববিদ্যালয়ে শুধুমাত্র 2+2=4 হয়, just এতটুকুই শিখানো হয়।।মানুষ হয়েউঠার জন্য প্রয়োজন নৈতিক শিক্ষা।।জাকিনা, আমাদের আধুনিক সমাজ ব্যবস্থায়, পরিবারে, শিক্ষা প্রতিষ্ঠান নেই বল্লেই চলে....!!!","","weaklyNegative",-0.5998780250549316,"{""neutral"":0.03239593654870987,""happy"":0.02555680461227894,""anger/disgust"":0.07571042329072952,""sadness"":0.941493570804596,""surprise"":0.014376280829310417,""fear"":0.019131528213620186}"
"আমার আপনার ভোটে এ সরকার না, পুলিশের মত বাহিনী দ্বারা রাতে ভোট ডাকাতি করে এই সরকার, তাই ওটা আর খেলার মাঠ থাকবেনা। আমাদের সন্তানেদর খেলার মাঠ থাকলো কি থাকলোনা এটা নিয়ে ওনারা চিন্তিত না,কারন ওনাদের পরিবার থাকে বিদেশে। 😂😡🤫","","weaklyNegative",-0.4815385580062866,"{""neutral"":0.008859271183609962,""happy"":0.012093592435121536,""anger/disgust"":0.8892397880554199,""sadness"":0.37410447001457214,""surprise"":0.015520082786679268,""fear"":0.04594125971198082}"
"আমার কেন জানি মনে হয় এখানে খেলার মাঠই হবে।","","weaklyPositive",0.5336251735687256,"{""neutral"":0.4406907260417938,""happy"":0.00998382456600666,""anger/disgust"":0.0013337420532479882,""sadness"":0.002443965757265687,""surprise"":0.717620313167572,""fear"":0.004331621341407299}"
"আমার বাসার সামনেই মাঠটি।খুব ভোরে আফ্রিকান ছেলেরা এসে ফুটবল খেলত।দুই একটা দেশি ছেলেও যোগ দিত।এরপর সারাদিন কোন না কোন বাচ্চারা খেলত। সন্ধ্যার পর বড়রা খেলত।মাঝেমধ্যেই নানা টুর্নামেন্টের আয়োজন হয়।এই কিছুদিন আগে মেয়র তাপোস সাহেবও আসলেন একটা শর্টবার ফুটবল টুর্নামেন্ট ফাইনালে। উনি চাইলে কি এটা বন্ধ করতে পারতো না!","","weaklyNegative",-0.5995543241500854,"{""neutral"":0.35729822516441345,""happy"":0.15589651465415955,""anger/disgust"":0.23178470134735107,""sadness"":0.29884329438209534,""surprise"":0.3284023404121399,""fear"":0.12463284283876419}"
"আমার মনে হয় বাংলাদেশ পুলিশ নামের ডাকাত গুলাকে যেই দমন করবে সেই আজীবন ক্ষমতায় থাকবে কারণ বাংলাদেশের পুলিশ ডাকাতের থেকে কোনো অংশে কম নয়।","","stronglyNegative",-0.9997182369232178,"{""neutral"":0.005685947369784117,""happy"":0.008111539296805859,""anger/disgust"":0.9747685790061951,""sadness"":0.05015450343489647,""surprise"":0.004417180549353361,""fear"":0.005702523980289698}"
"আমার মনে হয়.....সমস্যা পুলিশ/রাজনীতিক/প্রশাসন কোনটাতেই নয়......সমস্যা আমাদের মনস্তত্তে (Mindset)......আমরা(নাগরিক) কাঙ্ক্ষিত","","stronglyNegative",-0.9986626148223877,"{""neutral"":0.03626156598329544,""happy"":0.01953100971877575,""anger/disgust"":0.36574527621269226,""sadness"":0.710107147693634,""surprise"":0.02563069388270378,""fear"":0.1094258576631546}"
"আমার সত্নান যা খুশি তা করুক আভিভাবকদের এই বাক্যটি না বলে সচেতন হতে হবে। পরিপূর্ণ বয়স না আসা প্রর্যন্ত সামাজিক ডিভাইস হাতে দিলেও পূর্ননজর দারি রাখতে হবে। সঠিক মনভাব গরে তুলতে নিজ নিজ ধর্মীয় অনুশাসন মেনে চলার তাগিত দিতে হবে। সমাজে কাদের সাথে মিশছে লক্ষ্য রাখতে হবে। শিক্ষকদের সাথে সবসময় কমনিকেশন রাখতে হবে। মানুষ গঠনে শিক্ষক একটি বড় ভূমিকা পালন করে। আমাদের সবার উচিত ভালকে ভাল, মন্দকে মন্দ জোর গলায় বলা, তাইলেই হয়ত ভাল একটা সমাজ গঠনে সহায়তা হবে।","","weaklyPositive",0.536879587173462,"{""neutral"":0.21007007360458374,""happy"":0.8239551186561584,""anger/disgust"":0.02972431480884552,""sadness"":0.02564123645424843,""surprise"":0.007439142093062401,""fear"":0.007613219320774078}"
"আমি অনেক কমেন্ট পড়লাম, এই এই কমেন্ট গুলো পুলিশ পড়েছে কিনা জানিনা।","","weaklyNegative",-0.599826169013977,"{""neutral"":0.8328441381454468,""happy"":0.01229871902614832,""anger/disgust"":0.03909413143992424,""sadness"":0.1722264140844345,""surprise"":0.03466394916176796,""fear"":0.03403675556182861}"
"আমি আমার ভোটাধিকার ফেরত চাই, পরধান মুন্তির নজরে একটু আনা যায় কি?🤔","","neutral",0.1999077558517456,"{""neutral"":0.7757003307342529,""happy"":0.003870957065373659,""anger/disgust"":0.050861161202192307,""sadness"":0.09494048357009888,""surprise"":0.00999953132122755,""fear"":0.07590554654598236}"
"আমি একজন রাষ্ট্র বিজ্ঞানের ছাত্র।(1986)রাষ্ট্র ক্ষতিগ্রস্ত হচ্ছে এহেন কার্যকলাপে।1757 সালে পলাশীর প্রান্তরে স্বাধীনতা যখন বিপন্ন হয় we were divided into so many groups peoples was not united there were lack of well administration,Britisher took the chances & cashed it.And regaining this freedom we had to struggled for 190 years.","","weaklyNegative",-0.5990574598312377,"{""neutral"":0.0034766392782330513,""happy"":0.015654483810067177,""anger/disgust"":0.09817684441804886,""sadness"":0.9477982521057129,""surprise"":0.028355980291962624,""fear"":0.26738137006759644}"
"আমি একমত","","weaklyPositive",0.5998918771743775,"{""neutral"":0.03477741777896881,""happy"":0.9752181172370911,""anger/disgust"":0.0023078827653080225,""sadness"":0.0007674650405533612,""surprise"":0.0011807020055130124,""fear"":0.00015776311920490116}"
"আমি কী বলব আমার ভক্তগন সবই বলিয়া দিছেন।।আমি ইউক্রেনের পর বাংলাদেশে আক্রমন চালাবো।।","","stronglyNegative",-0.9997129678726197,"{""neutral"":0.021618852391839027,""happy"":0.028013577684760094,""anger/disgust"":0.8436316251754761,""sadness"":0.17135237157344818,""surprise"":0.02698516845703125,""fear"":0.17352144420146942}"
"আমি গর্বিত নই আমি আজ লজ্জিত আমি বাঙালী","","stronglyNegative",-0.9998518466949463,"{""neutral"":0.0013568532885983586,""happy"":0.0011880917008966208,""anger/disgust"":0.11840834468603134,""sadness"":0.9627794623374939,""surprise"":0.001923633273690939,""fear"":0.005840952042490244}"
"আমি নিউজ নাপড়ে কমেন্ট পড়তে আসছি আমার মত কে - কে আছেন হাত তুলেন।","","neutral",0.19996767044067384,"{""neutral"":0.8407096266746521,""happy"":0.026182595640420914,""anger/disgust"":0.09467336535453796,""sadness"":0.0738786980509758,""surprise"":0.010637113824486732,""fear"":0.018252406269311905}"
"আমি বড় হয়েছি এই মাঠে খেলে।প্রথম ওয়াসা‌ এসে পাম্প করলো।এখন পুলিশ","","weaklyNegative",-0.5991946697235107,"{""neutral"":0.0690237283706665,""happy"":0.06369707733392715,""anger/disgust"":0.7053102850914001,""sadness"":0.2848864495754242,""surprise"":0.10138104110956192,""fear"":0.07566773146390915}"
"আমি বুঝি না মাঠ দিয়া কি হইবে,,,থানা হইলে ইনকাম আর ইনকাম👁️","","weaklyNegative",-0.5998409509658813,"{""neutral"":0.012745433486998081,""happy"":0.003010470885783434,""anger/disgust"":0.5887928009033203,""sadness"":0.5442530512809753,""surprise"":0.018079973757267,""fear"":0.013963265344500542}"
"আমি শহর বা কোথাও গেলে সিকিউরিটি গার্ডের পোষাক দেখলে আতকে উঠি সেইদিনের পর থেকে!","","weaklyNegative",-0.3939027905464172,"{""neutral"":0.021553896367549896,""happy"":0.0031334771774709225,""anger/disgust"":0.01060922909528017,""sadness"":0.08140324056148529,""surprise"":0.07866530865430832,""fear"":0.9607264399528503}"
"উচ্চপদে গেলে মানবিকতা হারিয়ে যায়,মাঝে মাঝে যেটা দেখানো হয় সেটা খোলস মাত্র।","","stronglyNegative",-0.9919189214706421,"{""neutral"":0.0024427161552011967,""happy"":0.0016985541442409158,""anger/disgust"":0.11226771771907806,""sadness"":0.9579335451126099,""surprise"":0.003938376437872648,""fear"":0.0058794766664505005}"
"উদ্বেগজনক।","","weaklyNegative",-0.3970688939094543,"{""neutral"":0.0020365703385323286,""happy"":0.001508566434495151,""anger/disgust"":0.01214102003723383,""sadness"":0.9089874625205994,""surprise"":0.004156472627073526,""fear"":0.7460060119628906}"
"উনার উচিৎ ছিল উনার জীবনে ঘোষ,বাটপারি,বিভিন্ন জায়গায় দূর্নীতি করে টাকার পাহাড় বানানো।তাইলেই সকল পুলিশ প্রশাসন মনে হয় উনারে বাহ বাহ দিতো।বড় বড় রাঘব বোয়ালরা কেসিনো কেলেংকারি,শেয়ারবাজার কেলেংকারি,দূর্নীতিবাজরা দূর্নীতি করে জেলে যায় না আর গেলে ও কিছু দিন পরে বেড়িয়ে আসে।আর উনার মত একজন নারী বাচ্চাদের মাঠ রক্ষার জন্য জেলে গেলেন তাও উনারে ছাড়া হয়েছে মুচলেকা দিয়ে।কি জগন্য লাগছে আমার কাছে এই মুচলেকা শব্দটি এই সাহসী মহিলার ক্ষেত্রে।জানিনা কোন বাংলাদেশে আমাদের নতুন প্রজন্ম পদার্পণ করতে যাচ্ছে।","","stronglyNegative",-0.9981984615325927,"{""neutral"":0.0029430307913571596,""happy"":0.010672802105545998,""anger/disgust"":0.9205237030982971,""sadness"":0.2704973518848419,""surprise"":0.0460396409034729,""fear"":0.046513404697179794}"
"উনারা সারাজীবন খেলারমাঠ, পার্ক বেআইনি ভাবে প্রভাবশালীদের দখল করে ভবন করতে দিছে নিজেরা একটা করলে সমস্যা কি?","","stronglyNegative",-0.9992568016052246,"{""neutral"":0.002693047048524022,""happy"":0.0007623156998306513,""anger/disgust"":0.9829781651496887,""sadness"":0.04086977243423462,""surprise"":0.011612221598625183,""fear"":0.004027859307825565}"
"উনি কি সেই লোক না যে ""পরিমাণ সুন্দরী বলে তার জামিন পাওয়া উচিত"" এই মন্তব্যটি করেছিলেন?","","weaklyNegative",-0.5998858213424683,"{""neutral"":0.46778979897499084,""happy"":0.005915800575166941,""anger/disgust"":0.3080882728099823,""sadness"":0.10336679965257645,""surprise"":0.20470811426639557,""fear"":0.021443093195557594}"
"উন্নয়ন মুলক কাজে বাধাদানকারীর ফাঁসি চাই।","","stronglyNegative",-0.9998687267303467,"{""neutral"":0.0011292255949229002,""happy"":0.0011858291691169143,""anger/disgust"":0.9952622652053833,""sadness"":0.009577800519764423,""surprise"":0.0005198543658480048,""fear"":0.00045874083298258483}"
"উস্কানি দিয়ে কাজ ভণ্ডুল করার মতলব !","","weaklyNegative",-0.5996687889099122,"{""neutral"":0.4850059747695923,""happy"":0.0063994568772614,""anger/disgust"":0.5015525221824646,""sadness"":0.06726531684398651,""surprise"":0.03364540636539459,""fear"":0.022925466299057007}"
"এ আবার কেমন সৈয়দা🤔","","neutral",-0.18116159439086915,"{""neutral"":0.043128497898578644,""happy"":0.0022593806497752666,""anger/disgust"":0.059922847896814346,""sadness"":0.03502923250198364,""surprise"":0.9133175611495972,""fear"":0.012482826597988605}"
"এ কেমন দস‍্যু নাগিনীর দেশ যেখানে একটা খেলার মাঠের জন্য যুদ্ধ করতে হয়?সব কিছুর মূল হোতা ঐ দস‍্যু নাগিন।","","stronglyNegative",-0.9999463081359863,"{""neutral"":0.003465818939730525,""happy"":0.001953329425305128,""anger/disgust"":0.7928370237350464,""sadness"":0.3515455424785614,""surprise"":0.02830634079873562,""fear"":0.0802779421210289}"
"এ ঘটনায় রাষ্ট্রের লজ্জা ।আমরা কতটা সভ্য জাতি পৃথিবীর মানুষ তা দেখছে ।","","stronglyNegative",-0.9996861934661865,"{""neutral"":0.0012596029555425048,""happy"":0.003682931186631322,""anger/disgust"":0.31454917788505554,""sadness"":0.8699674606323242,""surprise"":0.0052923522889614105,""fear"":0.006071591749787331}"
"এ দেশে শৈশবে মানুষ যেখানে খেলাধুলা করে সেখানে পরে বিল্ডিং গড়ে তোলা হচ্ছে। আর বাহিরের দেশে সেখানে গড়ে তোলা হচ্ছে স্টেডিয়াম।","","weaklyNegative",-0.5999485969543457,"{""neutral"":0.0468577966094017,""happy"":0.021491067484021187,""anger/disgust"":0.6634581089019775,""sadness"":0.4344231188297272,""surprise"":0.09847722202539444,""fear"":0.04351409897208214}"
"এ-ই দেশে সব কিছুই পারে। পারে যে তা তো দেখাই যাচ্ছে!!","","weaklyNegative",-0.5614689826965331,"{""neutral"":0.3265455365180969,""happy"":0.019265811890363693,""anger/disgust"":0.23905624449253082,""sadness"":0.057921405881643295,""surprise"":0.42372870445251465,""fear"":0.0060508763417601585}"
"এ-র নামই কি বাক স্বাধীনতা? আমরা কি স্বাধীন!","","neutral",-0.19494075775146485,"{""neutral"":0.434020072221756,""happy"":0.05299729108810425,""anger/disgust"":0.32250940799713135,""sadness"":0.26785868406295776,""surprise"":0.14637187123298645,""fear"":0.048874255269765854}"
"এই অভিজ্ঞতা অন্যদের জন্য অনুপ্রেরণা","","stronglyPositive",0.9042523384094239,"{""neutral"":0.00021906198526266962,""happy"":0.9996504783630371,""anger/disgust"":0.00013752422819379717,""sadness"":0.00048375106416642666,""surprise"":0.0009867694461718202,""fear"":0.000020793515432160348}"
"এই আকাইম্যা পুলিশ যে থানায় কাজ করবে সেই ফালতু থানা কে চায়? এইরকম সচেতন মা ছেলেরা যেসব মাঠে নির্বিঘ্নে ঘুরে বেড়াবে সেইসব মাঠগুলির অক্ষত থাকা চাই। রক্ষক যখন ভক্ষকের ভূমিকায় তখন ত্রুটিপূর্ণ দারোয়ানদেরকে চাকরিচ্যুত করা জরুরি।","","weaklyNegative",-0.5967340469360352,"{""neutral"":0.0013148837024345994,""happy"":0.006506128236651421,""anger/disgust"":0.9837305545806885,""sadness"":0.0732644572854042,""surprise"":0.004076350945979357,""fear"":0.003838658332824707}"
"এই আন্দোলনের পিছনে বিএনপি জরিত 😡","","weaklyNegative",-0.5996393203735351,"{""neutral"":0.00043448241194710135,""happy"":0.00013416723231785,""anger/disgust"":0.999262273311615,""sadness"":0.0018206005915999413,""surprise"":0.0004586236027535051,""fear"":0.00004695395546150394}"
"এই উন্নয়নের তীব্র নিন্দা ও ধিক্কার জানাই অবিলম্বে এই তথাকতিত উন্নয়ন বন্ধ করা হউক।","","stronglyNegative",-0.9997828245162964,"{""neutral"":0.0010445242514833808,""happy"":0.0009952598484233022,""anger/disgust"":0.9771491885185242,""sadness"":0.10457310080528259,""surprise"":0.0009109522216022015,""fear"":0.006197723094373941}"
"এই একটা মাঠের জন্য প্রধানমন্ত্রী নিজেই হস্তক্ষেপ করতে হয় 🙂 ওনার নেতৃবৃন্দ সবাই জনগনের বিরুদ্ধে ছিলো। যায়হুক এর জন্য আমি ওনাকে একটা ধন্যবাদ জানাই।","","weaklyPositive",0.5998607158660889,"{""neutral"":0.03748380392789841,""happy"":0.7413671612739563,""anger/disgust"":0.41323602199554443,""sadness"":0.13769373297691345,""surprise"":0.04097143933176994,""fear"":0.011489163152873516}"
